Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
CLNT,"Cleantech Solutions International, Inc.",5.6232,14404968.3096,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clnt
CTSH,Cognizant Technology Solutions Corporation,72.28,42619586570.08,n/a,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/ctsh
CHUBA,"CommerceHub, Inc.",22.87,990655810.62,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chuba
CHUBK,"CommerceHub, Inc.",21.47,930012254.22,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chubk
COMM,"CommScope Holding Company, Inc.",35.99,6865526539.4,n/a,2013,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/comm
CVLT,"Commvault Systems, Inc.",53.9,2489391119.6,n/a,2006,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cvlt
CPSI,"Computer Programs and Systems, Inc.",30.35,417500336.15,n/a,2002,Technology,EDP Services,http://www.nasdaq.com/symbol/cpsi
CTG,"Computer Task Group, Incorporated",5.23,81022197.68,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ctg
CMTL,Comtech Telecommunications Corp.,21.69,511579060.29,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/cmtl
CCUR,Concurrent Computer Corporation,6.06,59952961.68,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ccur
CSOD,"Cornerstone OnDemand, Inc.",36.98,2141191959.98,n/a,2011,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/csod
CPAH,CounterPath Corporation,2.3,12614315.5,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cpah
COUP,Coupa Software Incorporated,35.46,1900803903.66,n/a,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/coup
CRAY,Cray Inc,22.75,919965000.5,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/cray
CREE,"Cree, Inc.",35.58,3491650131.36,n/a,1993,Technology,Semiconductors,http://www.nasdaq.com/symbol/cree
CRTO,Criteo S.A.,33.355,2129071764.365,63830663,2013,Technology,Advertising,http://www.nasdaq.com/symbol/crto
CCRN,"Cross Country Healthcare, Inc.",13.67,498694053.37,n/a,2001,Technology,Professional Services,http://www.nasdaq.com/symbol/ccrn
CSGS,"CSG Systems International, Inc.",45.88,1538055977.76,n/a,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/csgs
CSPI,CSP Inc.,10.7264,42085920.6912,n/a,1982,Technology,EDP Services,http://www.nasdaq.com/symbol/cspi
CVV,CVD Equipment Corporation,12.5088,80180044.5408,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvv
CYBR,CyberArk Software Ltd.,47.07,1620301012.47,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cybr
CY,Cypress Semiconductor Corporation,16.01,5341972871.64,n/a,1986,Technology,Semiconductors,http://www.nasdaq.com/symbol/cy
CYRN,CYREN Ltd.,2.4,119612203.2,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyrn
DWCH,Datawatch Corporation,9.2,112777813.6,n/a,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dwch
DTRM,"Determine, Inc. ",1.68,24879072.96,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dtrm
DGII,Digi International Inc.,10.25,273310284.5,n/a,1989,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/dgii
DMRC,Digimarc Corporation,37.5,437257050,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dmrc
DGLY,"Digital Ally, Inc.",2.401,16758334.131,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/dgly
DIOD,Diodes Incorporated,29.32,1448118611.6,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/diod
DLHC,DLH Holdings Corp.,6.2801,72847753.2576,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/dlhc
DSPG,"DSP Group, Inc.",13.1,292431064.2,n/a,1994,Technology,Semiconductors,http://www.nasdaq.com/symbol/dspg
EBIX,"Ebix, Inc.",77.4,2434661427.6,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ebix
ELON,Echelon Corporation,4.81,21742869.07,n/a,1998,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/elon
SATS,EchoStar Corporation,59.86,5730207205.76,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sats
EDGW,"Edgewater Technology, Inc.",6.27,87876821.34,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/edgw
EGAN,eGain Corporation,3.55,96676780.8,n/a,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/egan
EA,Electronic Arts Inc.,106.35,32747871926.55,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea
EFII,"Electronics for Imaging, Inc.",30.77,1405909577.63,n/a,1992,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/efii
ELTK,Eltek Ltd.,3.562,7225702.224,n/a,1997,Technology,Electrical Products,http://www.nasdaq.com/symbol/eltk
EMKR,EMCORE Corporation,7.825,210329427,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/emkr
EIGI,"Endurance International Group Holdings, Inc.",9.3,1334468978.4,n/a,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/eigi
